record_id,task,trial_id,trial_index,cue_onset,cue_offset,cue_time_s,cue_duration_s,cue_sign,support_start,support_stop,state9_runs,state9_overlap,response_marker_index,behavior_semantics
VisualCogA_Task-1,1,VisualCogA_Task-1:000,0,5162,5214,20.1640625,0.203125,-1,5002,5578,"[{""onset"":5758,""offset"":6256,""code"":-1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:001,1,7538,7590,29.4453125,0.203125,1,7378,7954,"[{""onset"":8105,""offset"":8407,""code"":1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:002,2,9690,9743,37.8515625,0.20703125,-1,9530,10106,"[{""onset"":10258,""offset"":10567,""code"":-1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:003,3,11851,11903,46.29296875,0.203125,-1,11691,12267,"[{""onset"":12418,""offset"":12771,""code"":-1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:004,4,14055,14107,54.90234375,0.203125,1,13895,14471,"[{""onset"":14623,""offset"":14932,""code"":1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:005,5,16216,16268,63.34375,0.203125,-1,16056,16632,"[{""onset"":16783,""offset"":17086,""code"":-1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:006,6,18368,18420,71.75,0.203125,-1,18208,18784,"[{""onset"":18936,""offset"":19306,""code"":-1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:007,7,20589,20641,80.42578125,0.203125,-1,20429,21005,"[{""onset"":21156,""offset"":21421,""code"":-1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:008,8,22705,22757,88.69140625,0.203125,1,22545,23121,"[{""onset"":23272,""offset"":23572,""code"":1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:009,9,24854,24906,97.0859375,0.203125,1,24694,25270,"[{""onset"":25421,""offset"":25817,""code"":1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:010,10,27102,27154,105.8671875,0.203125,1,26942,27518,"[{""onset"":27669,""offset"":27970,""code"":1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:011,11,29254,29307,114.2734375,0.20703125,1,29094,29670,"[{""onset"":29822,""offset"":30096,""code"":1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:012,12,31379,31431,122.57421875,0.203125,-1,31219,31795,"[{""onset"":31946,""offset"":32238,""code"":-1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:013,13,33520,33572,130.9375,0.203125,-1,33360,33936,"[{""onset"":34087,""offset"":34391,""code"":-1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:014,14,35676,35728,139.359375,0.203125,1,35516,36092,"[{""onset"":36243,""offset"":36507,""code"":1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:015,15,37789,37841,147.61328125,0.203125,-1,37629,38205,"[{""onset"":38356,""offset"":38614,""code"":-1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:016,16,39897,39949,155.84765625,0.203125,1,39737,40313,"[{""onset"":40465,""offset"":40824,""code"":1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:017,17,42110,42162,164.4921875,0.203125,-1,41950,42526,"[{""onset"":42677,""offset"":42997,""code"":-1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:018,18,44282,44334,172.9765625,0.203125,-1,44122,44698,"[{""onset"":44849,""offset"":45160,""code"":-1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:019,19,46443,46495,181.41796875,0.203125,1,46283,46859,"[{""onset"":47010,""offset"":47295,""code"":1.0}]",False,,unknown
VisualCogA_Task-1,1,VisualCogA_Task-1:020,20,48579,48631,189.76171875,0.203125,-1,48419,48995,"[{""onset"":49147,""offset"":49392,""code"":-1.0}]",False,,unknown
